price,size,balcony,juliet_balcony,basement,terrace,loggia,yard,attic,floor,rooms,offering,date_listed,street,borough
6900,75,0,0,0,1,0,0,0,7,3,agency,2023-06-03,Witolda,Stare miasto
6900,82,1,0,0,0,0,0,0,8,3,agency,2023-03-17,Dmowskiego,Stare miasto
6900,85,1,0,1,0,0,0,0,6,4,agency,2023-01-18,Manganowa,Fabryczna
6900,85,1,0,1,0,0,0,0,6,4,agency,2022-12-21,Manganowa,Fabryczna
6900,110,0,0,0,1,0,0,0,3,3,agency,2023-06-01,Zyndrama z maszkowic,Stare miasto
6800,61,1,0,0,0,0,0,0,2,3,agency,2023-06-05,Witolda,Stare miasto
6800,83,0,0,1,0,0,0,0,1,3,agency,2023-05-19,Polaka,Śródmieście
6750,115,0,0,0,1,0,0,0,3,4,agency,2022-09-03,Przyjaźni,Krzyki
6700,75,1,0,0,0,0,0,0,2,3,agency,2022-05-16,Witolda,Stare miasto
6700,83,1,0,0,0,0,0,0,3,4,agency,2022-09-30,Białowieska,Fabryczna
6700,100,0,0,0,0,0,0,0,1,5,agency,2023-06-14,Braterska,Krzyki
6500,49.15,0,0,0,1,0,0,0,5,2,agency,2023-05-25,Witolda,Śródmieście
6500,56,0,0,1,0,0,0,0,33,1,agency,2022-05-20,Gwiaździsta,Krzyki
6500,62,1,0,0,0,0,0,0,4,3,agency,2022-08-30,Witolda,Stare miasto
6500,65,1,0,1,0,0,0,0,3,3,agency,2023-06-03,Hallera,Fabryczna
6500,70,1,0,0,0,0,0,0,5,3,agency,2022-03-07,Jana pawła ii,Stare miasto
6500,77,0,0,0,0,0,0,0,1,3,agency,2022-08-04,Racławicka,Krzyki
6500,80,0,0,1,1,0,0,0,3,4,agency,2023-05-16,Buforowa,Outside
6500,80.3,1,0,0,0,0,1,0,0,3,agency,2023-03-02,Granitowa,Krzyki
6500,81,0,0,0,1,0,0,0,8,3,agency,2023-04-27,Dmowskiego,Śródmieście
6500,82,1,0,0,0,0,0,0,8,3,agency,2023-05-16,Dmowskiego,Stare miasto
6500,85,1,0,0,0,0,0,0,15,3,agency,2023-06-15,Podwale,Stare miasto
6500,89.88,0,0,0,0,1,0,0,2,3,agency,2023-06-15,Walońska,Krzyki
6500,90,0,0,0,1,0,0,0,5,4,agency,2023-03-05,Białowieska,Fabryczna
6500,90,0,0,0,0,0,0,0,2,4,agency,2022-01-24,Igielna,Stare miasto
6500,90,1,0,0,0,0,0,0,1,4,agency,2023-02-22,Malinowskiego,Krzyki
6500,95,1,0,1,0,0,0,0,2,4,agency,2023-06-03,Przedświt,Fabryczna
6500,95,0,0,0,1,0,0,0,2,4,agency,2022-10-06,Rzeźbiarska,Śródmieście
6500,95,1,0,0,0,0,0,0,1,4,agency,2023-05-14,Hallera,Krzyki
6500,96.5,0,0,1,1,0,0,0,2,5,agency,2023-06-15,Obrońców poczty gdańskiej,Krzyki
6500,100,0,0,0,0,0,0,0,4,6,agency,2022-10-30,Piękna,Krzyki
6500,100,1,0,1,0,0,0,0,3,3,agency,2022-08-04,Racławicka,Krzyki
6500,101,0,0,0,0,0,0,0,2,3,agency,2022-04-06,Skłodowskiej,Śródmieście
6500,105,0,0,0,1,0,0,0,8,4,agency,2023-06-06,Jesionowa,Krzyki
6500,105,1,0,0,0,0,0,0,3,4,agency,2022-06-21,Rybnicka,Krzyki
6500,107,1,0,0,0,0,0,0,1,4,commercial,2022-11-23,Ołtaszyńska,Krzyki
6500,112.6,1,0,0,0,0,0,0,1,5,agency,2023-06-03,Św. rity,Outside
6500,117.56,1,0,1,0,0,0,0,1,5,agency,2023-01-04,Piastowska,Śródmieście
6500,125,0,0,0,1,0,0,0,3,5,agency,2023-06-07,Łubinowa,Krzyki
6500,126,0,0,0,0,0,0,0,3,5,agency,2023-06-08,Szewska,Stare miasto
6400,89,0,0,0,0,1,0,0,1,4,agency,2023-06-05,Tęczowa,Stare miasto
6300,61,0,0,1,1,0,0,0,1,3,private,2023-04-12,Młynarska,Psie pole
6300,72,0,0,0,0,0,0,0,1,4,agency,2022-07-14,Ołtaszyńska,Krzyki
6300,72.3,0,0,1,0,0,0,0,4,4,agency,2022-08-02,Worcella,Krzyki
6300,98,0,0,0,1,0,0,0,1,4,agency,2022-08-09,Wiejska,Fabryczna
6290,140,1,0,0,0,0,0,0,0,4,agency,2023-05-15,Gajowa,Krzyki
6200,78,1,0,0,0,0,0,0,2,4,private,2022-05-04,Legionów,Stare miasto
6200,80.68,1,0,1,0,0,0,0,2,2,agency,2022-11-05,Marcinkowskiego,Śródmieście
6200,90,0,0,0,1,0,0,0,2,4,agency,2023-02-10,Sarnia,Outside
6199,72,0,0,0,1,0,0,0,1,4,agency,2022-07-21,Maczka,Krzyki
6000,43,1,0,0,0,0,0,0,4,1,agency,2023-06-17,Staromłyńska,Śródmieście
6000,43,1,0,0,0,0,0,0,4,1,agency,2023-05-22,Staromłyńska,Stare miasto
6000,48,1,0,1,0,0,0,0,1,2,agency,2022-12-11,Jana pawła ii,Stare miasto
6000,54,0,0,0,0,0,0,0,3,3,agency,2022-08-08,Gdańska,Śródmieście
6000,60,1,0,0,0,0,0,0,16,3,agency,2023-01-04,Podwale,Stare miasto
6000,60,1,0,0,0,0,0,0,1,4,agency,2023-06-03,Walońska,Stare miasto
6000,62,1,0,0,0,0,1,0,0,3,agency,2023-03-16,Wichrowa,Krzyki
